,timestamp,value
0,-2.526089906692505,{text: #clear_throat_C#}
1,-1.013115406036377,{text: Hej!}
2,0.0,{text: Jag heter föör hatt.}
3,3.013617992401123,{text: Vad heter du? Och \\pau=200\\ vart kommer du ifrån?}
4,8.977388381958008,{text: Och vad heter du? och \\pau=150\\ vart kommer du ifrån?}
5,15.133744239807129,{text: Trevligt att träffas!}
6,18.147575855255127,{text: Vi ska spela spelet \\pau=150\\ Med Andra Ord}
7,21.16417622566223,{text: Ni måste beskriva ett ord och jag ska försöka gissa det.}
8,24.679940223693848,{text: Varje ord visas på surfplattan med en liten bild!}
9,28.696147918701172,{text: Ni har en minut på er att beskriva ordet \\pau=500\\ medan jag försöka att gissa.}
10,33.213860511779785,{text: Det finns en regel}
11,35.227842807769775,{text: Ni kan inte säga själva ordet eller varianter av ordet}
12,39.24392104148865,{text: Alla andra strategier för att beskriva ordet är tillåtna. \\pau=500\\ Vi ska spela i cirka 20 minuter}
13,44.760324001312256,{text: Efter spelet får ni välja eran belöning.}
14,47.76928520202637,{text: Redo? Nu kör vi!}
15,99.59732937812805,{text: #u-hu_F#}
16,109.64582657814026,{text: #yeah_short_A#}
17,123.74456024169922,{text: #yeah_B#}
18,130.40361404418945,{text: #yeah_D#}
19,131.15630102157593,{text: #yeah_D#}
20,139.10387301445007,{text: #u-hu_D#}
21,147.1688516139984,{text: #yeah_A#}
22,159.64892387390137,{text: #u-hu_D#}
23,169.63861918449402,{text: #yeah_B#}
24,182.14866423606873,{text: #yeah_short_E#}
25,187.12925839424133,{text: #yeah_G#}
26,191.7391176223755,{text: #hes_short_A# \\pau=100\\  nätet?}
27,198.74298739433289,{text: #hes_E# \\pau=100\\  kliniken?}
28,202.74608278274536,{text: #hes_short_H# \\pau=100\\  apotek?}
29,217.25047755241394,{text: #yeah_short_D#}
30,226.3088309764862,{text: #hes_short_J# \\pau=100\\  adress?}
31,230.76600766181946,{text: #hes_F# \\pau=100\\  frimärke?}
32,236.3284330368042,{text: #yeah_D#}
33,245.76613402366638,{text: #hes_short_A# \\pau=100\\  drottning?}
34,251.53823328018188,{text: #yeah_A#}
35,255.4354476928711,{text: #yeah_D#}
36,258.7362730503082,{text: #yeah_I#}
37,262.7751476764679,{text: #hes_G# \\pau=100\\  hantverkare?}
38,264.7814326286316,{text: #hes_short_C# \\pau=100\\  bagare?}
39,270.52823972702026,{text: #u-hu_A#}
40,285.25534653663635,{text: #hes_short_F# \\pau=100\\  färg?}
41,290.71897530555725,{text: #u-hu_B#}
42,294.37849402427673,{text: #hes_I# \\pau=100\\  spegel?}
43,300.438241481781,{text: #yeah_J#}
44,323.95610332489014,{text: #u-hu_J#}
45,327.81067419052124,{text: #hes_short_C# \\pau=100\\  papper?}
46,328.81016778945923,{text: #hes_B# \\pau=100\\  pensel?}
47,344.2989947795868,{text: #yeah_short_C#}
48,347.81778836250305,{text: #hes_F# \\pau=100\\  toalett?}
49,349.82109904289246,{text: #hes_short_I# \\pau=100\\  badrum?}
50,359.02800035476685,{text: #yeah_D#}
51,367.973984003067,{text: #hes_A# \\pau=100\\  uggla?}
52,375.04516863822937,{text: #yeah_short_A#}
53,381.13888692855835,{text: #u-hu_E#}
54,389.17830300331116,{text: #u-hu_J#}
55,395.50861072540283,{text: #yeah_short_B#}
56,399.84500217437744,{text: #hes_short_H# \\pau=100\\  guld?}
57,402.8487946987152,{text: #hes_F# \\pau=100\\  medalj?}
58,404.8493809700012,{text: #hes_C# \\pau=100\\  titeln?}
59,411.49765610694885,{text: #u-hu_D#}
60,419.9887664318085,{text: #yeah_D#}
61,423.85857462882996,{text: #hes_short_G# \\pau=100\\  människor?}
62,427.86648631095886,{text: #hes_short_B# \\pau=100\\  drömmar?}
63,435.2871844768524,{text: #u-hu_A#}
64,439.54690313339233,{text: #u-hu_D#}
65,446.8406574726105,{text: #u-hu_C#}
66,450.88020610809326,{text: #hes_I# \\pau=100\\  spindel?}
67,461.53868889808655,{text: #yeah_I#}
68,468.34851455688477,{text: #yeah_I#}
69,474.2029402256012,{text: #hes_short_D# \\pau=100\\  spöke?}
70,479.6249840259552,{text: #yeah_short_A#}
71,487.89389419555664,{text: #hes_D# \\pau=100\\  ljus?}
72,488.8925142288208,{text: #hes_short_I# \\pau=100\\  regn?}
73,497.2652361392975,{text: #hes_short_D# \\pau=100\\  storm?}
74,500.9068093299866,{text: #hes_short_J# \\pau=100\\  blixt?}
75,513.1387498378754,{text: #u-hu_E#}
76,522.9127960205078,{text: #hes_short_E# \\pau=100\\  djur?}
77,524.9135789871216,{text: #hes_C# \\pau=100\\  hund?}
78,526.9197852611542,{text: #hes_short_F# \\pau=100\\  husdjur?}
79,538.3674490451813,{text: #yeah_D#}
80,546.9253244400024,{text: #hes_D# \\pau=100\\  dröm?}
81,548.9260416030884,{text: #hes_short_C# \\pau=100\\  mardröm?}
82,553.0067179203033,{text: #yeah_D#}
83,558.3745050430298,{text: #yeah_short_D#}
84,569.8971860408783,{text: #u-hu_C#}
85,573.7697472572327,{text: #yeah_C#}
86,578.1778860092163,{text: #hes_E# \\pau=100\\  garderob?}
87,591.7074139118195,{text: #u-hu_F#}
88,597.9800713062286,{text: #yeah_A#}
89,601.9558339118958,{text: #hes_short_H# \\pau=100\\  bil?}
90,604.1034758090973,{text: #hes_short_H# \\pau=100\\  rullstol?}
91,608.0871942043304,{text: #yeah_G#}
92,621.4975302219391,{text: #yeah_J#}
93,629.8077037334442,{text: #yeah_F#}
94,633.9724941253662,{text: #hes_F# \\pau=100\\  parti?}
95,634.9712719917297,{text: #hes_short_F# \\pau=100\\  politik?}
96,636.9762361049652,{text: #hes_C# \\pau=100\\  rösträtt?}
97,648.195042848587,{text: #yeah_short_E#}
98,651.9819839000702,{text: #hes_short_G# \\pau=100\\  får?}
99,658.0677809715271,{text: #yeah_short_C#}
100,663.4684021472931,{text: #hes_C# \\pau=100\\  stenbock?}
101,668.9267749786377,{text: #u-hu_E#}
102,676.848242521286,{text: #u-hu_J#}
103,684.9967379570007,{text: #hes_short_B# \\pau=100\\  växter?}
104,685.9996328353882,{text: #hes_A# \\pau=100\\  blommor?}
105,691.0029819011688,{text: #hes_short_E# \\pau=100\\  trädgården?}
106,692.0068509578705,{text: #hes_J# \\pau=100\\  krukväxt?}
107,699.5564343929291,{text: #u-hu_G#}
108,712.1873199939728,{text: #u-hu_B#}
109,716.0154371261597,{text: #hes_short_E# \\pau=100\\  kyrka?}
110,721.2771148681641,{text: #u-hu_J#}
111,725.0198361873627,{text: #hes_J# \\pau=100\\  slott?}
112,730.7571289539337,{text: #hes_D# \\pau=100\\  berget?}
113,740.7807509899139,{text: #hes_short_G# \\pau=100\\  kyrktorn?}
114,748.6965506076813,{text: #yeah_short_C#}
115,758.5373101234436,{text: #u-hu_C#}
116,762.0382809638977,{text: #hes_E# \\pau=100\\  skulpturer?}
117,767.0398354530334,{text: #hes_E# \\pau=100\\  skylt?}
118,770.0395400524139,{text: #hes_short_A# \\pau=100\\  sten?}
119,773.044652223587,{text: #hes_B# \\pau=100\\  granit?}
120,775.0422096252441,{text: #hes_short_C# \\pau=100\\  begravning?}
121,777.0462076663971,{text: #hes_short_J# \\pau=100\\  tavlan?}
122,779.0471322536469,{text: #hes_J# \\pau=100\\  gravsten?}
123,786.9467213153839,{text: #yeah_short_A#}
124,797.9248445034027,{text: #hes_short_J# \\pau=100\\  spår?}
125,802.0571601390839,{text: #hes_C# \\pau=100\\  vandring?}
126,803.0640425682068,{text: #hes_F# \\pau=100\\  fotspår?}
127,809.9564502239227,{text: #u-hu_C#}
128,819.5874071121216,{text: #yeah_short_D#}
129,823.3035349845886,{text: #u-hu_D#}
130,827.077442407608,{text: #hes_short_J# \\pau=100\\  höjdhopp?}
131,832.2467820644379,{text: #u-hu_G#}
132,840.2871210575104,{text: #yeah_C#}
133,852.5911686420441,{text: #hes_H# \\pau=100\\  barnbarn?}
134,873.7068963050842,{text: #yeah_J#}
135,891.3171129226685,{text: #hes_F# \\pau=100\\  säl?}
136,895.1146354675293,{text: #hes_J# \\pau=100\\  isbjörn?}
137,900.3461685180664,{text: #yeah_G#}
138,912.1181280612946,{text: #hes_D# \\pau=100\\  hus?}
139,914.1170272827148,{text: #hes_B# \\pau=100\\  villa?}
140,916.1214575767517,{text: #hes_short_F# \\pau=100\\  radhus?}
141,928.5453193187714,{text: #yeah_short_B#}
142,943.6707482337952,{text: #hes_A# \\pau=100\\  hängbro?}
143,956.7437674999237,{text: #u-hu_C#}
144,960.6780619621277,{text: #u-hu_E#}
145,965.1424424648285,{text: #hes_short_I# \\pau=100\\  kungen?}
146,969.4066851139069,{text: #yeah_C#}
147,979.7843825817108,{text: #yeah_short_E#}
148,982.0705666542053,{text: #hes_short_J# \\pau=100\\  biskop?}
149,995.1723918914795,{text: #hes_B# \\pau=100\\  tempel?}
150,1030.668848991394,{text: #hes_I# \\pau=100\\  underverk?}
151,1044.1656301021576,{text: #yeah_D#}
152,1052.4201531410217,{text: #hes_C# \\pau=100\\  signaturmelodi?}
153,1057.1866464614868,{text: #yeah_G#}
154,1077.7648949623108,{text: #hes_C# \\pau=100\\  vävstol?}
155,1080.078190088272,{text: Det är hela tiden vi har. \\pau=500\\  Tack för att ni spelade med mig!}
