,time_elapsed (s),left angle vertical,left angle horizontal,right angle vertical,right angle horizontal
0,0.1,0,-39,11,-48
1,0.2,0,-37,5,-51
2,0.3333333333333333,-2,-48,5,-55
3,0.43333333333333335,-5,-50,4,-55
4,0.5666666666666667,-6,-48,7,-51
5,0.7,-5,-47,7,-46
6,0.8,3,-36,8,-43
7,0.9333333333333333,11,-29,10,-39
8,1.0666666666666667,3,-36,11,-39
9,1.1666666666666667,20,-27,12,-39
10,1.3,15,-27,7,-39
11,1.4333333333333333,3,-37,7,-40
12,1.5666666666666667,14,-30,8,-37
13,1.6666666666666667,25,-24,15,-29
14,1.8,17,-29,9,-34
15,1.9333333333333333,25,-25,14,-34
16,2.0666666666666664,26,-25,10,-33
17,2.1666666666666665,15,-32,10,-34
18,2.2666666666666666,29,-24,12,-32
19,2.3666666666666667,15,-31,10,-34
20,2.466666666666667,24,-25,9,-34
21,2.6,18,-29,10,-35
22,2.7,26,-25,8,-36
23,2.8333333333333335,32,-22,7,-37
24,2.966666666666667,30,-23,7,-36
25,3.1,34,-23,8,-37
26,3.2,37,-21,9,-34
27,3.3333333333333335,34,-24,8,-34
28,3.466666666666667,29,-29,8,-35
29,3.6,13,-36,9,-34
30,3.7333333333333334,12,-37,23,-28
31,3.8333333333333335,13,-38,18,-31
32,3.966666666666667,15,-33,19,-29
33,4.1,18,-33,16,-31
34,4.2,15,-35,7,-35
35,4.333333333333333,15,-36,9,-35
36,4.433333333333334,15,-36,8,-35
37,4.566666666666666,14,-35,18,-31
38,4.666666666666667,19,-33,7,-37
39,4.8,36,-23,8,-36
40,4.9,47,-16,6,-39
41,5.033333333333333,57,-10,14,-35
42,5.166666666666667,60,-9,13,-34
43,5.3,53,-10,13,-37
44,5.4,41,-12,13,-36
45,5.533333333333333,46,-15,15,-35
46,5.666666666666667,46,-15,6,-44
47,5.8,46,-15,7,-43
48,5.9,46,-15,7,-43
49,6.033333333333333,46,-15,9,-43
50,6.166666666666667,46,-15,8,-43
51,6.3,3,-38,10,-43
52,6.4,6,-38,10,-40
53,6.533333333333333,5,-40,11,-39
54,6.666666666666667,5,-39,11,-39
55,6.8,12,-33,12,-38
56,6.933333333333334,11,-33,14,-37
57,7.066666666666666,15,-30,13,-37
58,7.166666666666667,-8,36,13,-37
59,7.3,20,-22,12,-38
60,7.433333333333334,-6,-46,13,-37
61,7.566666666666666,13,-29,12,-37
62,7.666666666666667,10,-30,12,-38
63,7.8,-1,-45,12,-38
64,7.933333333333334,10,-31,12,-38
65,8.066666666666666,11,-30,11,-38
66,8.2,9,-34,11,-37
67,8.3,1,-33,12,-36
68,8.433333333333334,7,-36,8,-44
69,8.566666666666666,13,-32,8,-44
70,8.7,11,-33,8,-44
71,8.8,11,-32,12,-36
72,8.933333333333334,6,-40,12,-38
73,9.066666666666666,11,-34,9,-43
74,9.2,10,-35,6,-45
75,9.3,8,-37,7,-44
76,9.433333333333334,0,-46,8,-44
77,9.566666666666666,15,-28,11,-40
78,9.7,15,-27,12,-39
79,9.8,15,-28,10,-41
80,9.933333333333334,10,-33,3,-54
81,10.066666666666666,14,-28,3,-54
82,10.2,2,-26,3,-54
83,10.3,0,-42,3,-54
84,10.433333333333334,14,-30,3,-54
85,10.566666666666666,0,-40,3,-54
86,10.7,0,-40,3,-54
87,10.8,-19,33,3,-54
88,10.933333333333334,-19,33,3,-54
89,11.066666666666666,-19,33,3,-52
90,11.2,-31,22,5,-52
91,11.3,-27,26,3,-52
92,11.433333333333334,-27,26,4,-54
93,11.566666666666666,-24,26,4,-53
94,11.7,-20,32,6,-51
95,11.8,-20,32,6,-52
96,11.933333333333334,1,-45,6,-50
97,12.066666666666666,12,-30,8,-48
98,12.2,12,-30,6,-50
99,12.3,7,-32,8,-48
100,12.433333333333334,7,-32,5,-51
101,12.566666666666666,-1,-35,-5,-62
102,12.7,-10,39,0,-56
103,12.8,-11,41,0,-56
104,12.933333333333334,-11,40,1,-59
105,13.066666666666666,-8,40,1,-59
106,13.2,12,-54,1,-59
107,13.333333333333334,-7,44,1,-59
108,13.466666666666667,-7,44,1,-59
109,13.6,-7,44,1,-59
110,13.733333333333333,16,-32,1,-59
111,13.833333333333334,10,-38,1,-59
112,13.966666666666667,8,-40,1,-59
113,14.1,9,-38,1,-59
114,14.233333333333333,12,-35,1,-59
115,14.333333333333334,1,-55,1,-59
116,14.466666666666667,23,-31,1,-59
117,14.6,1,-55,1,-59
118,14.733333333333333,4,-55,1,-59
119,14.833333333333334,4,-55,1,-59
120,14.966666666666667,4,-55,1,-59
121,15.1,4,-55,1,-59
122,15.233333333333333,3,-56,1,-59
123,15.333333333333334,6,-53,1,-59
124,15.466666666666667,6,-53,1,-59
125,15.6,6,-53,1,-59
126,15.733333333333333,6,-53,1,-59
127,15.833333333333334,6,-53,1,-59
128,15.966666666666667,5,-53,1,-59
129,16.1,6,-51,1,-59
130,16.233333333333334,6,-51,1,-59
131,16.366666666666667,6,-52,1,-59
132,16.5,3,-54,1,-59
133,16.6,7,-51,1,-59
134,16.733333333333334,8,-48,1,-59
135,16.866666666666667,9,-48,1,-59
136,17.0,9,-48,1,-59
137,17.1,9,-48,1,-59
138,17.233333333333334,9,-48,1,-59
139,17.366666666666667,9,-48,1,-59
140,17.5,9,-48,1,-59
141,17.6,9,-48,1,-59
142,17.733333333333334,-46,16,1,-59
143,17.866666666666667,13,-35,1,-59
144,18.0,16,-33,1,-59
145,18.1,1,-41,1,-59
146,18.233333333333334,-20,31,1,-59
147,18.366666666666667,-20,31,1,-59
148,18.5,-20,31,1,-59
149,18.6,-20,31,1,-59
150,18.733333333333334,-20,31,1,-59
151,18.866666666666667,-20,31,1,-59
152,19.0,-17,32,1,-59
153,19.1,-30,26,1,-59
154,19.233333333333334,-22,36,1,-59
155,19.366666666666667,-11,39,1,-59
156,19.5,-26,26,1,-59
157,19.6,12,-34,1,-59
158,19.733333333333334,-16,42,1,-59
159,19.866666666666667,-12,48,1,-59
160,20.0,-10,49,1,-59
161,20.1,-12,47,1,-59
162,20.233333333333334,-13,44,1,-59
163,20.366666666666667,3,-31,1,-59
164,20.5,-4,36,1,-59
165,20.6,-8,42,9,-47
166,20.733333333333334,-3,35,6,-51
167,20.866666666666667,-10,42,7,-49
168,21.0,-10,42,9,-46
169,21.1,-8,44,7,-49
170,21.233333333333334,-8,44,10,-46
171,21.366666666666667,-8,44,8,-48
172,21.5,-12,37,6,-51
173,21.6,-13,36,6,-51
174,21.733333333333334,-17,35,6,-51
175,21.866666666666667,-16,35,6,-51
176,22.0,-16,35,6,-51
177,22.1,-16,35,6,-51
178,22.233333333333334,-16,35,6,-51
179,22.366666666666667,-16,35,6,-51
180,22.5,-16,35,6,-51
181,22.6,-16,35,6,-51
182,22.733333333333334,-16,35,6,-51
183,22.866666666666667,-16,35,6,-51
184,23.0,-16,35,6,-51
185,23.1,-16,35,6,-51
186,23.233333333333334,-16,35,6,-51
187,23.366666666666667,-16,35,6,-51
188,23.5,-16,35,6,-51
189,23.6,-16,35,6,-51
190,23.733333333333334,-16,35,6,-51
191,23.866666666666667,-16,35,6,-51
192,24.0,-16,35,6,-51
193,24.1,-16,35,6,-51
194,24.233333333333334,19,-27,6,-51
195,24.366666666666667,24,-20,6,-51
196,24.5,-14,34,6,-51
197,24.6,8,-35,6,-51
198,24.733333333333334,0,-37,6,-51
199,24.866666666666667,0,-45,6,-51
200,25.0,-3,-40,6,-51
201,25.1,9,-28,6,-51
202,25.233333333333334,-18,-2,6,-51
203,25.366666666666667,10,-24,6,-51
204,25.5,14,-26,10,-44
205,25.6,9,-35,8,-49
206,25.733333333333334,5,-38,8,-49
207,25.866666666666667,7,-35,8,-49
208,26.0,15,-31,8,-49
209,26.133333333333333,8,-38,8,-49
210,26.233333333333334,8,-38,8,-49
211,26.366666666666667,-10,42,8,-49
212,26.5,16,-29,8,-49
213,26.633333333333333,9,-35,5,-49
214,26.733333333333334,11,-35,7,-49
215,26.866666666666667,7,-31,8,-49
216,27.0,5,-37,10,-45
217,27.133333333333333,-3,-50,5,-47
218,27.233333333333334,-8,-54,13,-39
219,27.366666666666667,-3,-52,16,-37
220,27.5,-1,-52,11,-42
221,27.633333333333333,-4,-53,9,-45
222,27.733333333333334,-4,-53,8,-47
223,27.866666666666667,-5,-53,11,-40
224,28.0,-6,-52,11,-39
225,28.133333333333333,-5,-52,8,-43
226,28.233333333333334,-5,-52,11,-39
227,28.366666666666667,-6,-52,12,-39
228,28.5,-5,-52,12,-39
229,28.633333333333333,-6,-53,14,-37
230,28.733333333333334,-6,-53,12,-39
231,28.866666666666667,-5,-45,8,-42
232,29.0,-5,-53,7,-42
233,29.133333333333333,-5,-52,10,-40
234,29.233333333333334,0,-41,10,-40
235,29.366666666666667,-5,-52,10,-40
236,29.5,-5,-52,14,-37
237,29.633333333333333,-6,-54,14,-37
238,29.733333333333334,-7,-53,14,-36
239,29.866666666666667,0,-41,14,-36
240,30.0,-2,-44,14,-36
241,30.133333333333333,-5,-51,14,-36
242,30.233333333333334,-2,-44,14,-36
243,30.366666666666667,-6,-51,14,-36
244,30.5,0,-40,14,-36
245,30.633333333333333,0,-40,14,-36
246,30.733333333333334,1,-40,10,-40
247,30.866666666666667,0,-42,9,-41
248,31.0,-3,-50,11,-40
249,31.133333333333333,2,-39,12,-38
250,31.233333333333334,-3,-50,12,-38
251,31.366666666666667,-4,-50,12,-38
252,31.5,0,-40,9,-43
253,31.633333333333333,-1,-43,6,-46
254,31.733333333333334,-6,-45,6,-46
255,31.866666666666667,-6,-45,6,-46
256,32.0,0,-43,6,-46
257,32.1,2,-41,7,-44
258,32.2,3,-40,6,-45
259,32.333333333333336,1,-41,6,-45
260,32.46666666666667,1,-41,7,-44
261,32.6,3,-40,6,-45
262,32.7,-9,-53,6,-46
263,32.833333333333336,-5,-52,6,-46
264,32.96666666666667,3,-40,7,-45
265,33.1,-7,-49,8,-43
266,33.2,3,-37,7,-45
267,33.333333333333336,0,-41,8,-44
268,33.46666666666667,-8,-52,8,-43
269,33.6,-7,-50,9,-40
270,33.7,0,-41,9,-41
271,33.833333333333336,1,-41,8,-43
272,33.96666666666667,0,-40,10,-41
273,34.1,-2,-45,10,-39
274,34.2,0,-40,8,-43
275,34.333333333333336,-7,-53,7,-45
276,34.46666666666667,-10,-56,8,-44
277,34.6,-7,-55,8,-44
278,34.7,-8,-55,7,-45
