,time_elapsed (s),left angle vertical,left angle horizontal,right angle vertical,right angle horizontal
0,0.1,-5,52,17,-34
1,0.2,-5,52,17,-34
2,0.3333333333333333,-6,50,16,-34
3,0.43333333333333335,-5,50,20,-29
4,0.5666666666666667,-7,50,20,-30
5,0.7,-7,50,24,-26
6,0.8,-8,49,19,-31
7,0.9333333333333333,-7,50,20,-31
8,1.0666666666666667,-7,50,18,-31
9,1.1666666666666667,-7,50,20,-30
10,1.3,-5,54,18,-30
11,1.4333333333333333,-6,50,18,-31
12,1.5666666666666667,-9,48,17,-31
13,1.6666666666666667,-10,47,17,-31
14,1.8,-9,45,18,-31
15,1.9333333333333333,-9,45,15,-33
16,2.0666666666666664,-8,46,13,-38
17,2.1666666666666665,-7,45,15,-37
18,2.2666666666666666,-9,43,16,-37
19,2.3666666666666667,-6,45,16,-38
20,2.466666666666667,-5,46,17,-38
21,2.6,-4,50,17,-38
22,2.7,-3,52,15,-38
23,2.8333333333333335,-7,50,15,-40
24,2.966666666666667,-5,50,17,-40
25,3.1,-5,51,16,-41
26,3.2,-4,51,14,-43
27,3.3333333333333335,-7,49,12,-46
28,3.466666666666667,-6,49,7,-49
29,3.6,-6,49,5,-47
30,3.7333333333333334,-5,50,7,-48
31,3.8333333333333335,-7,49,5,-54
32,3.966666666666667,-6,49,7,-51
33,4.1,-6,49,8,-51
34,4.2,-5,49,4,-54
35,4.333333333333333,-7,49,7,-51
36,4.433333333333334,-7,49,9,-52
37,4.566666666666666,-7,48,9,-50
38,4.666666666666667,-7,48,8,-53
39,4.8,-8,48,9,-54
40,4.9,-8,47,6,-57
41,5.033333333333333,-8,47,8,-57
42,5.166666666666667,-6,48,10,-55
43,5.3,-5,49,10,-55
44,5.4,-6,49,10,-55
45,5.533333333333333,-8,48,6,-58
46,5.666666666666667,-6,52,6,-58
47,5.8,-7,50,6,-58
48,5.9,-16,45,6,-58
49,6.033333333333333,-7,48,14,-50
50,6.166666666666667,-8,45,6,-54
51,6.3,-6,46,6,-54
52,6.4,-6,46,6,-54
53,6.533333333333333,-5,47,7,-58
54,6.666666666666667,-4,47,36,-18
55,6.8,-5,47,-1,-46
56,6.933333333333334,-4,50,18,-42
57,7.066666666666666,-7,47,-13,37
58,7.166666666666667,-8,47,13,-46
59,7.3,-9,47,19,-40
60,7.433333333333334,-9,46,15,-42
61,7.566666666666666,-8,45,17,-41
