,Duration,Offset,DisplayText
0,15.2,0.0,
1,3.86,16.82,"Okej, onsdagen den kan få säkert en kul."
2,1.5,26.28,Hmm.
3,1.3,28.73,Jag har inte orkat.
4,3.24,31.72,Vad heter du och var kommer du ifrån?
5,5.68,37.81,"Vad du heter, vart kommer du ifrån? Jag heter cassandra har problem."
6,29.4,44.55,Trevligt att träffas. Vi ska spela spelet med andra ord. Vi måste beskriva och jag ska försöka titta till. Varje visades på surfplattan med en liten. Vi har en minut på dig att skriva medan vi försöker att visa. Det finns en regel du kan inte säga själva ordet eller varianter av ordet alla andra chefer för att beskriva där tillåtna vi ska spela.
7,4.48,75.36,Efter spelet får berggren redan nu kör vi.
8,0.49,92.87,Ja.
9,6.81,96.21,"Jag tror man blir alltid. Jag tror att det ska dyka upp bo där egentligen. Ja, ja, ja."
10,0.96,106.61,Vänta lite.
11,1.36,109.35,Hmm sten.
12,1.22,113.88,Man måste vi måste.
13,16.96,119.09,"Måste säga emot om hon kommer att gissa eller ja, men vi ska inte skylla på egna modeller. Det ska gå bra, okej? Men var det vissa stenar? Jag tyckte det var lite varit en dom, okej?"
14,2.46,139.66,Vi börjar titta lite anklagas för det.
15,1.72,144.71,Reflekterande yta.
16,1.56,148.08,Hmm.
17,2.38,152.45,Hmm man kan se själv.
18,1.49,159.78,Hmm.
19,7.33,161.32,Hmm hmm smeden ett ja.
20,4.77,170.99,"Du sa ju en rätt ord? Ja, det är inte det jag ska visa det."
21,4.15,180.87,Liten papperslapp man sätter på ett brev för att du ska levereras.
22,12.52,186.8,"Hmm frimärken hmm ja okej, när det regnar ibland så att det finns ju ha ljus."
23,4.01,201.18,"Man kan till just den killen, för att det är ett."
24,4.63,207.82,Hmm skriver laddning hmm.
25,5.68,217.94,Ja ja man kan du kör eller bajsa hmm.
26,0.7,225.14,Jaha.
27,1.49,228.82,Hmm duge.
28,11.24,231.03,En del av en lägenhet eller ett hus där man har toalett. Hmm hmm hmm.
29,1.36,246.7,Eller åker vi hit?
30,4.11,248.51,"8 rent litet djur som påminner om en insekt, men inte en."
31,2.9,253.78,Hmm synd att hmm.
32,1.72,258.89,Hmm fogelström.
33,1.49,265.86,Hmm.
34,1.22,267.7,Kungens fru.
35,0.81,269.74,Ja.
36,0.69,274.8,Ja.
37,1.49,278.87,Hmm.
38,4.34,280.41,Precis som kan gå i alla riktningar. Ja.
39,10.4,289.02,"Hmm, jag tycker din förklaring går bra, men en kvinna som är gift med kungen jaha ja drottning. Ja ja ja."
40,2.33,301.24,Där man kan köpa mediciner.
41,0.72,304.56,Ja.
42,5.1,309.09,Det är butik för mediciner och sjukvårdsutrustning.
43,1.45,318.86,Hmm nätet.
44,3.48,321.93,Men en fysisk butik där man kan köpa till exempel medicin.
45,1.49,329.92,Hmm.
46,1.5,332.62,Hmm.
47,1.06,334.18,Hmm.
48,4.84,338.85,Hmm. Fåglarna har måndag ja.
49,4.94,345.46,Hmm hmm ja.
50,9.41,352.82,"Ja, det är om dum som en elev, 2 skolan eller någon form av produkter i hmm."
51,0.58,365.4,Om.
52,3.31,368.95,Barn brukar barn bräda.
53,0.33,374.71,Ja.
54,2.0,378.26,Hmm.
55,1.93,380.9,Vålnad hmm.
56,1.44,384.94,Hmm.
